No;Tema;Artikel
1;Ekonomi ;"Jakarta-BadanPusatStatistik(BPS)mengumumkanpertumbuhanekonomiIndonesiapada2020minus2,07%.Angkainiturunjauhdibandingkanpertumbuhanekonomi2019yangadadilevel5,02%.""SecarakumulatifpertumbuhanekonomiIndonesiapada2020mengalamikontraksi2,07%""kataKepalaBPSSuhariyantodalamkonferensipersvirtual,Jumat(5/2/2021).Jikadirinci,pertumbuhanekonomiIndonesiapadakuartalIsebesar2,97%,kuartalIIminus5,32%,kuartalIIIminus3,49%,dankuartalIVminus0,42%.Pertumbuhanekonomidikuartalterakhir2020membaikdibandingkankuartalsebelumnya.Secarayearonyear,ekonomiIndonesiatercatatminus2,19%.Pemerintahsendirimemperkirakanrealisasipertumbuhanekonomiminus1,7%sampaidenganminus2,2%.SementaraKementerianKeuanganmemproyeksipertumbuhanekonomikuartalIVadadirentangminus0,9%hinggaminus2,9%.BPSsendirimencatatsecaraumumekonomimitradagangIndonesiapadakuartalIV2020masihmengalamikontraksi,kecualiChinadanVietnam.EkonomiChinatumbuh6,5%,AmerikaSerikatminus2,5%,danSingapuraminus3,8%."
2;Ekonomi ;Jakarta-HargaemasbatanganAntamhariiniturun1,37%atauberkurangRp13.000pergramdariposisihargakemarinRp943.000pergrammenjadiRp930.000pergram.Sementaraitu,hargabuybackataupembeliankembaliemasAntamhariiniberkurangRp16.000levelRp810.000/gram.BerikutrincianhargaemasAntamhariini:*Emasbatangan1gramRp930.000*Emasbatangan5gramRp4.425.000*Emasbatangan10gramRp8.795.000*Emasbatangan25gramRp21.862.000*Emasbatangan50gramRp43.645.000*Emasbatangan100gramRp87.212.000*Emasbatangan250gramRp217.765.000*Emasbatangan500gramRp435.320.000Jikadibandingkandenganhargaemasdunia,penurunanhargaemasAntamjauhlebihdalam.MelansirReuters,hargaemasglobaldalamperdaganganKamiskemarinturun0,9%keposisiUS$1.818perons.ImbalhasilobligasiASdanmeningkatnyanilaitukardolarAStelahmenekanhargakomoditaslogamtermasukhargaemas.
3;Ekonomi ;Jakarta-Dogecoinmendadakpopulergara-garacuitanbosTesla,ElonMuskdiTwitter.akibatdaricuitannyaitu,hargadogecoinmelonjakmenjadiUSD0,05798.Melansirdariberbagaisumber,Jumat,(5/2/2021),Dogecoinmerupakansalahsatuuangkriptoyangdiinisiasi2013olehJacksonPalmerdanBillyMarkus.Dogecoindiluncurkanpada6Desember2013menggunakanmaskotanjingrasJepang,ShibaInu,yangkalaituramaidijadikanmeme.Mulanya,JacksonPalmerbermaksudmenyindirkehebohanuangkriptosaatitu.Setelahdiresponspositif,Palmermembelidomaindogecoin.com.SementaraituBillyMarkusadalahdevelopersoftwarediIBM,Portland,Amerikayanginginmembuatuangdigital,tapikesulitanmelakukanpromosi.DialalumengontakPalmerdanmembuatsoftwaredibalikDogecoin.MarkusmembuatcodingdariLitecoin.Dogecoindiluncurkanpada6Desember2013.Dalam2minggu,nilainyanaik300persenakibatChinamelarangbankinvestasidiuangkripto.Dogecoinsemakinterkenaldandikenalmelaluidonasiamaldanmengikutiataumelaksanakanberbagaimacamkegiatanpositifuntukmasyarakat.ParafansDogecoinmenyebutdirimerekasendirisebagai‘Shibes’.BerikutsejumlahhalterkaitDogecoin:
4;Ekonomi ;"Brebes-GerakanJatengdiRumahSajadimulai6-7Februari.Jelangmomentersebut,hargasejumlahbahanpokokdipasartradisionaldiBrebesjustrunaik.PantauandetikcomdipasarIndukBrebespadaJumat(5/2/2021),wargamenyerbupasaruntukmembelibahanmakanansebagaibekalselamaduaharidirumah.SejumlahwargasaatditemuidiPasarIndukBrebesmengaku,merekaberbelanjakarenapasarakanditutuppemerintahselamaduahari.Sementarastokbahanmakanandirumahsudahkosong,sehinggamerekamemilihberbelanjadipasaryangharganyaterjangkau.Jumlahkebutuhanyangdibelijugalebihbanyakdaribiasanya,karenauntukpersediaanselamapasardanmallditutup.""Kanbesokpasarditutupduahari,katanyasihadaGerakandiRumahSaja,makanyasayasempatkanbelanjakepasaruntukstokdirumah,""tuturNureni(37),salahseorangpembelidiPasarIndukBrebes.Beberapapedagangyangdiserbupembeliadalahpenjuallaukpaukdansayurmayursepertitempetahu,ayampotongdanlainnya.Peningkatanjumlahpembeliinidimanfaatkanpedaganguntukmenaikkanhargajual.Sejumlahbahanpokoknaikcukuptinggidiantaranya,dagingayam,cabaikeriting,tempedanbawangpolong.HargadagingayamyangsemulaRp36.000/kgnaikmenjadi40.000/kg.TempeyangharganyasemulaRp9.000/kgnaikmenjadiRp12.000/kg.KemudianbawangpolongdarisemulaRp16.000/kgnaikmenjadiRp24.000/kg.Kenaikanhargatertinggiterjadipadahargacapaikeriting,darisemulaRp60.000/kgmenjadiRp80.000/kg.SedangkanuntukdagingsapiharganyastabilRp120.000/kg.Sementarahargajeniskebutuhanbahanpokoklainnyarelatifstabil.Akibataksiborongini,stokbeberapabahanpokoklangsunghabisterjual.Akibatnyabanyakpembeliyangtidakkebagian.""Sayatidakmengiraakandiserbupembeli.Sayapikirbiasabiasasajatapiternyatabanyaksekalipembelinyasampaikehabisan,""terangJamilah(45),seorangpedaganglaukpauk."
5;Ekonomi ;Jakarta-HargaemasyangdijualPTPegadaian(Persero)terpantauturunpada5Februari2021.PegadaianmenjualemasmulaidariemasAntam,hinggaUBS.Layananjualanemasinimelengkapijasagadaiyangtelahditawarkansebelumnya.AdabeberapajenisemasyangdijualBUMNgadaiini.JenisemasyangterdaftaradalahemasAntam,emasRetro,emasBatik,danemasUBS.SemuajenisemasituhanyatersediadioutletPegadaian.SetiapharinyahargaemasyangdijualPegadaianterusberubah.PadaJumat,5Februari2021,hargaemasdiPegadaianterpantauturun.BerikutinidaftarlengkapdanterbaruhargaemasPTPegadaian(Persero)pada5Februari2021:HargaEmasAntam-2,0gram=Rp1.907.000-3,0gram=Rp2.834.000-5,0gram=Rp4.687.000-10,0gram=Rp9.315.000-25,0gram=Rp23.154.000-50,0gram=Rp46.224.000-100,0gram=Rp92.366.000HargaEmasAntamRetro-0,5gram=Rp445.000-1,0gram=Rp890.000-2,0gram=Rp1.779.000-3,0gram=Rp2.668.000-5,0gram=Rp4.446.000-10,0gram=Rp8.891.000-25,0gram=Rp22.226.000-50,0gram=Rp44.451.000-100,0gram=Rp88.901.000HargaEmasAntamBatik-0,5gram=Rp619.000-1,0gram=Rp1.141.000HargaEmasUBS-0,5gram=Rp489.000-1,0gram=Rp931.000-2,0gram=Rp1.848.000-5,0gram=Rp4.564.000-10,0gram=Rp9.079.000-25,0gram=Rp22.651.000-50,0gram=Rp45.208.000-100,0gram=Rp90.380.000-250,0gram=Rp225.882.000-500,0gram=Rp451.230.000-1000,0gram=Rp901.485.000
6;Ekonomi ;"Jakarta-MenteriKoordinatorBidangPerekonomianAirlanggaHartartomenyampaikan,Indonesiadiperkirakanmencapaipertumbuhanekonomisebesar4,5hingga5,5persendi2021.KhususuntukkuartalI2021,diprediksiekonomiIndonesiabisatumbuhdiangka1,6hingga2,1persen.""KitatentunyaharapmasihadapertumbuhanpositifdikuartalIrangenya1,6hingga2,1persen.Nah,inimemangPRkitauntukmendorongsektorkonsumsirumahtanggabisatumbuh,""ujarAirlanggadalamkonferensipersPertumbuhanEkonomi2020,Jumat(5/2/2021).Airlanggabilang,konsumsirumahtanggadibidiktumbuh1,3hingga1,8persendikuartalIini.Selainitu,konsumsipemerintahjugaditargetkannaikkarenaberkontribusisignifikanterhadappertumbuhanekonomi.""Dikuartalawalbiasanyakonsumsipemerintahrendahyaitu3hingga4persen,nahinikitadorongkalaubisanaik4hingga5persen,""katanya.Untuktahun2020,meskipunekonomiIndonesiaterkontraksi-2,07persen,perolehaninimenjadisinyalpositifuntukpertumbuhanekonomiditahun2021.""SinyalpositifpemulihanekonomisudahterlihatditriwulanIV,dimanatentuangkaquarter-to-quartersudahadasedikitpeningkatankembalidari-5,32persenke-3,49persendansekarangdi-2,19persen.Tentuiniakanterusdiperhatikandanperbaikaninitidaklepasdariintervensiyangdilakukanpemerintah,""kataAirlangga."
7;Ekonomi ;"Jakarta-MenteriKoordinatorBidangPerekonomianAirlanggaHartartomengatakan,pertumbuhanekonomiIndonesiadi2020menunjukansinyalpositifmenujupemulihan.menurutnya,haliniterjadikarenaadanyaintervensipemerintah.""SayainginmenyampaikanbahwakitalihatsecarayearonyearperekonomianIndonesiaterkontraksisebesarminus2,07persendi2020.KitamelihatsinyalpositifpemulihanekonomisudahterlihatditriwulankeIV,""jelasnyadalamvideoconferencediJakarta,Jumat(5/2/2021).""Tentuiniakanterusdiperhatikanperbaikaninitentutidaklepasdariintervensiyangdilakukanolehpemerintah,""tambahdia.Intervensiyangdilakukanpemerintahdalamrangkapenanganancoviddanpemulihanekonominasionalberhasilmeningkatkankonsumsipemerintahyangmencapai1,76persensecayayearonyear.SementararealisasiprogrampenangananCovid-19danpemulihanekonomimencapaisebesarRp579,8triliundanatau94,6persendariAPBN2020.""DantentunyaInimeningkatkankepercayaanmasyarakatuntukkonsumsisehinggakonsumsirumahtanggaterkontraksisebesarminus3,61secarayearonyeardantumbuhpositifsecara0,49persensecarakuartalperkuartaldibandingkantriwulansebelumnya,""jelasdia."
8;Ekonomi ;"Jakarta-BadanPusatStatistik(BPS)merilisangkapertumbuhanekonomitahunpenuh2020minus2,07persen.PadakuartalIV2020,pertumbuhannyajugaterkontraksiminus2,19persen.Dengankatalain,Indonesiamasihresesi.EkonomInstituteforDevelopmentofEconomicsandFinance(INDEF)BhimaYudistiramengatakan,adabeberapapenyebabterkontraksinyapertumbuhanekonomiIndonesiasaatini,salahsatunyayaitukegagalanpemerintahdalammengendalikanpandemiCovid-19sehinggamasyarakatmasihmenahanuntukberbelanja.""Kelompokpengeluaranmenengahdanatasberperanhingga83persendaritotalkonsumsinasional.Untukmemulihkanpermintaankelompokinikuncinyaadalahpenangananpandemi,haliniyangtidakdijalankandenganbaikolehpemerintah,""kataBhimadalamketerangannyakepadaLiputan6.com,Jumat(5/2/2021).Bhimamelanjutkan,kebijakanNewNormalyangdipaksakanterbuktiblunder.Disatusisi,adadoronganagarmasyarakatbisaberaktivitasdenganprotokolkesehatan,namundisisilainPSBBjalanterusoperasionalberbagaijenisusahadibatasi.""Inikebijakanabnormal.Kebijakanyangmajumundurmembuatkepercayaankonsumenjaditurun.Adavaksin,adanewnormaltapikenapaadaPPKM?Kenapakasusharianmasihtinggi?Inijadipertanyaandibenakkonsumen,""katanya.Bhimamelanjutkan,meskipunadavaksinasiyangmulaimengangkatoptimismepelakuusahadankonsumendiakhirtahun2020,tapitimbulpesimismeterkaitjenisvaksinyangdigunakanselainituadamasalahkecepatandistribusivaksinyangbutuhwaktutidaksebentar.SelainitukembalidiberlakukannyaPPKMjilidIjugaturutmenggeruskepercayaankonsumenlebihdalam.""Jadioptimismepemulihanekonomiyanglebihcepatdipangkassendiriolehkebijakanpemerintah,""tandasnya.Bhimajugabilang,penyebablainnyaialahgelontoranstimulusPemulihanEkonomiNasional(PEN)terbuktikurangefektifkarenadinilaisalahperencanaan.Lanjutnya,masalahutamadalampandemiialahkurangnyadukunganpadasisidemandpolicy,yakniperlindungansosial(Rp220,3triliun)danrealisasibelanjakesehatan(Rp63,5triliun)yangmasihlebihkecildibandingkanstimuluslainmisalnyauntukpembiayaankorporasi(Rp60,7triliun),insentifusaha(Rp56,1triliun),sektoralK/LdanPemda(Rp66,5triliun)daninsentifUMKM(Rp112triliun).""Idealnyapemerintahmendorongsisipermintaandibandingfokuspadasisipenawaran.Jikapermintaanbelumterdorongdenganbelanjapemerintah,makapercumamemberikanbanyakkeringananbagipelakuusaha.Masalahutamaadadisisilemahnyademand,""jelasnya."
9;Ekonomi ;"Jakarta-PertumbuhanekonomiIndonesiaterkontraksi2,07persensepanjang2020.IniakibatpertumbuhannegatifpadatigakuartalakhirberuntunyangmenyebabkanIndonesiamasihterpurukdijurangresesi.""Pertumbuhanekonomikitasecarakumulatifpada2020mengalamikontraksi2,07persen,""kataKepalaBadanPusatStatistik(BPS)KecukSuhariyantodalamsesiteleconference,Jumat(5/2/2021).CatatantersebutmenjadikanIndonesiapada2020mengalamipertumbuhanekonomiterburukpascakrisismoneter1998.Saatitu,pertumbuhanekonomiIndonesiatercatatminus13,1persen.Adapunpertumbuhanekonomiyangterkontraksipertamakalinyasejakkrisis1998disebabkanolehpenurunanaktivitasselamapandemiCovid-19.Halitumembuatproduktivitasdarisisiproduksipadabeberapasektormengalamipenurunan.BPSmelaporkanadanyatigasektoryangsecarapertumbuhanpadakuartalVI2020anjlokataulebihkecildibandingtriwulansebelumnya,yakniindustripengolahan,pertanian,danperdagangan.Sektorpertanianterpantautetaptumbuh1,75persendikuartalIV2020karenaadanyapeningkatanproduksipalawijadanhortikultura.Namuncapaiannyaturundibandingtriwulansebelumnya.Inidisebabkankarenafaktorcuacaatauadanyapergantianmusim.""Misalnyasajayangpalingnyatakarenamasalahmusimanuntuksektorpertanian,dimanapuncakmusimpanennyasudahjatuhditriwulanIIdanIII,dantriwulanIVmengalamipenurunansehinggakontraksi,""jelasSuhariyanto.Sementarauntuksektorindustripengolahanmemangterkontraksiminus2,93persen.ItutercermindariproduksiLNGyangminus6,63persen,mobilminus46,37persen,sepedamotorminus40,21persen,dansemenminus9,26persen.Senada,sektorperdaganganjugaterkontraksiminus3,72persen.Itudisebabkanolehpenjualanmobilwholesaleminus48,35persen,penjualansepedamotorminus43,57persen,indekspenjualanriilsukucadangminus23persen,danindeksritelminus12,03persen."
10;Ekonomi ;"Jakarta-Indonesiamasihterjebakdijurangresesi,setelahpertumbuhanekonomiminus2,07persenpadakuartalIV2020.TakhanyaIndonesia,negara-negaramitradagangIndonesialainsepertiAmerikaSerikat(AS),JepanghinggaKoreaSelatanpertumbuhanekonominyajugamandekakibatpandemiCovid-19berkepanjangan.Namun,KepalaBadanPusatStatistik(BPS)KecukSuhariyantomencatat,pengecualiadiberikankepadaChinadanVietnamyangperekonomiannyatetaptumbuhpositifdisepanjang2020.ItuterlihatpadapertumbuhanekonomiChinayangmelambunghingga6,5persenpadakuartalIV2020karenaberbagaiindikator.""KitalihatbahwapadatriwulanIVtahun2020perekonomianTiongkoktumbuh6,5persenkarenaadanyakenaikanpadasektormanufakturdanjugapenjualanretail,""kataSuhariyantodalamsesiteleconference,Jumat(5/2/2021).Menurutdia,capaianituturutditopangolehkegiatanbelanjadengannegaramitradagangyangtumbuhpositif.SepertidenganIndonesia,yangangkaekspornyakeNegeriTiraiBambumeningkatpesatditriwulanIV2020,baiksecarakuartalan(qtq)atausecaratahunan(YoY).Alhasildisepanjang2020,pertumbuhanekonomiChinaterpantausurplus2,3persen.Vietnambahkanmelaporkanpertumbuhanekonomiyanglebihperkasa.NegaratetanggaChinainimencatatkanpertumbuhan4,5persenpadakuartalIV2020,dansurplus2,9persendisepanjangtahunlalu,lebihtinggidariTiongkok.Kendatibegitu,Suhariyantomelanjutkan,Indonesiatakperluberkecilhatilantaranpertumbuhanekonominyamasihlebihbagusketimbangbeberapanegaramitradagangbesarlainnya.""Negara-negaramitradaganglainnyamisalnyaAmerikaSerikatyangjadinegaratujuaneksporterbesarkeduaIndonesia,pertumbuhanekonominyapadatriwulankeempatinimasihkontraksi2,5persen.Singapuraalamikontraksi3,8persen,demikianjugauntukJepang,KoreaSelatan,HongKong,danUniEropa,""tuturnya.Secaratahunan,pertumbuhanekonominegara-negaratersebutjugamasihlebihanjlokdaripadaIndonesia.AmerikaSerikatterpantauminus3,5persen,Singapuraminus5,8persen,HongKongminus6,1persen,danUniEropaminus6,4persen."
